date reported,date acknowledge,day,hour,minute,second
10/1/2024 8:23,10/5/2024 23:16,1,14,37,0
10/2/2024 9:00,10/6/2024 17:00,1,4,0,0
10/3/2024 10:00,10/7/2024 15:30,1,1,30,0
10/4/2024 7:45,10/8/2024 18:45,1,5,15,0
10/6/2024 8:56,10/7/2024 16:34,0,9,34,0
10/6/2024 8:56,10/6/2024 16:34,0,0,0,0
10/7/2024 8:56,10/7/2024 16:34,0,7,38,0
10/8/2024 8:56,10/8/2024 16:34,0,7,38,0
10/9/2024 8:56,10/9/2024 16:34,0,7,38,0
10/10/2024 8:56,10/10/2024 16:34,0,7,38,0
10/11/2024 8:56,10/11/2024 16:34,0,7,38,0
10/12/2024 8:56,10/12/2024 16:34,0,0,0,0
10/13/2024 8:56,10/13/2024 16:34,0,0,0,0
10/14/2024 8:56,10/14/2024 16:34,0,7,38,0
10/15/2024 8:56,10/15/2024 16:34,0,7,38,0
10/16/2024 8:56,10/16/2024 16:34,0,7,38,0
10/17/2024 8:56,10/17/2024 16:34,0,7,38,0
10/18/2024 8:56,10/18/2024 16:34,0,7,38,0
10/19/2024 8:56,10/19/2024 16:34,0,0,0,0
10/20/2024 8:56,10/20/2024 16:34,0,0,0,0
10/21/2024 8:56,10/21/2024 16:34,0,7,38,0
10/22/2024 8:56,10/22/2024 16:34,0,7,38,0
10/23/2024 8:56,10/23/2024 16:34,0,7,38,0
10/24/2024 8:56,10/24/2024 16:34,0,7,38,0
10/25/2024 8:56,10/25/2024 16:34,0,7,38,0
10/26/2024 8:56,10/26/2024 16:34,0,0,0,0
10/27/2024 8:56,10/27/2024 16:34,0,0,0,0
10/28/2024 8:56,10/28/2024 16:34,0,7,38,0
10/29/2024 8:56,10/29/2024 16:34,0,7,38,0
